iso_time,level,reason,phase,lat,lon,altitude_m,d3_terrain_m,v_terrain_m,d3_surface_m,v_surface_m,clipped
2026-06-25T09:45:30,warnung,Gelände,Flug,46.58835,7.610883,1703.2,22.4,31.6,22.4,31.6,0
2026-06-25T10:04:46,achtung,Gelände,Flug,46.593717,7.628183,1401.2,48.7,57.8,30.4,51.5,0
2026-06-25T10:05:10,achtung,Wald/Objekt,Flug,46.593483,7.628833,1374.2,55.3,66.6,29.5,38.4,0
2026-06-25T10:18:17,achtung,Gelände,Flug,46.59395,7.627633,1410.2,48.3,57.6,27.8,31.9,0
2026-06-25T10:22:24,achtung,Gelände,Flug,46.593733,7.6268,1413.2,40.8,44.7,36.1,44.8,0
2026-06-25T10:24:58,achtung,Wald/Objekt,Flug,46.58105,7.62135,1330.2,50.6,64.5,24.3,51.5,0
2026-06-25T10:25:28,achtung,Gelände,Flug,46.5822,7.621233,1313.2,46.4,51.3,15.9,32.9,0
2026-06-25T10:26:26,achtung,Wald/Objekt,Flug,46.584567,7.620817,1325.2,54.6,63.4,24.9,47.0,0
2026-06-25T10:26:48,achtung,Wald/Objekt,Flug,46.583,7.620433,1339.2,57.1,73.9,28.3,62.4,0
2026-06-25T10:27:55,achtung,Gelände,Flug,46.583533,7.620217,1337.2,49.6,62.4,23.1,41.8,0
2026-06-25T10:28:19,achtung,Gelände,Flug,46.585033,7.620067,1341.2,40.5,45.1,23.6,45.1,0
2026-06-25T10:28:58,achtung,Gelände,Flug,46.584767,7.619883,1351.2,42.6,47.7,31.2,47.6,0
2026-06-25T10:29:35,achtung,Gelände,Flug,46.583617,7.6202,1332.2,45.8,58.8,22.6,34.6,0
2026-06-25T10:31:12,achtung,Wald/Objekt,Flug,46.583433,7.619083,1396.2,53.9,62.0,24.9,50.0,0
2026-06-25T10:35:09,achtung,Wald/Objekt,Flug,46.583017,7.617517,1466.2,57.1,66.4,29.4,66.4,0
2026-06-25T10:40:10,achtung,Gelände,Flug,46.580467,7.62035,1396.2,45.0,52.5,29.5,47.3,0
2026-06-25T10:41:27,achtung,Gelände,Flug,46.580767,7.620717,1370.2,45.6,60.4,32.4,60.4,0
2026-06-25T10:42:07,achtung,Gelände,Flug,46.58325,7.619417,1381.2,48.7,60.1,23.4,45.8,0
2026-06-25T10:43:00,achtung,Wald/Objekt,Flug,46.583117,7.6193,1391.2,50.7,61.3,27.5,54.8,0
2026-06-25T10:45:46,achtung,Wald/Objekt,Flug,46.582833,7.6184,1437.2,59.2,66.7,26.2,55.9,0
2026-06-25T10:48:47,achtung,Gelände,Flug,46.581517,7.61595,1527.2,31.6,35.4,25.2,35.4,0
2026-06-25T10:52:22,achtung,Gelände,Flug,46.58065,7.617733,1489.2,48.6,71.9,33.2,44.3,0
2026-06-25T10:53:41,achtung,Wald/Objekt,Flug,46.581967,7.6169,1507.2,56.4,77.8,28.8,69.1,0
2026-06-25T10:54:30,achtung,Gelände,Flug,46.585083,7.6148,1535.2,42.8,50.0,42.8,50.0,0
2026-06-25T10:55:13,achtung,Gelände,Flug,46.588267,7.613717,1570.2,37.7,45.8,37.7,45.8,0
2026-06-25T10:55:59,achtung,Gelände,Flug,46.5871,7.613833,1593.2,49.1,59.2,23.4,44.9,0
2026-06-25T10:57:21,achtung,Gelände,Flug,46.58765,7.612783,1633.2,41.9,51.7,22.5,29.5,0
2026-06-25T10:58:21,achtung,Gelände,Flug,46.587083,7.612717,1638.2,46.2,53.6,32.7,53.6,0
2026-06-25T10:59:09,achtung,Gelände,Flug,46.585367,7.612917,1624.2,44.9,52.0,36.7,52.0,0
2026-06-25T11:00:18,achtung,Gelände,Flug,46.587033,7.613383,1610.2,47.7,55.5,24.9,55.5,0
2026-06-25T11:01:27,achtung,Wald/Objekt,Flug,46.587167,7.61375,1602.2,53.2,64.6,25.1,42.7,0
2026-06-25T11:02:47,achtung,Gelände,Flug,46.587383,7.612667,1645.2,45.8,55.9,25.1,45.9,0
2026-06-25T11:05:38,warnung,Gelände,Flug,46.58805,7.611433,1688.2,29.0,37.3,22.6,34.6,0
2026-06-25T11:51:32,warnung,Gelände,Landeanflug,46.5873,7.633267,920.2,17.8,18.5,17.8,18.5,0
